Fecha;Compra;Venta;Promedio
9/9/2022;270;274;272
8/9/2022;276;280;278
7/9/2022;280;284;282
6/9/2022;272;276;274
5/9/2022;266;270;268
2/9/2022;280;285;282,5
1/9/2022;280;285;282,5
31/8/2022;285;290;287,5
30/8/2022;286;291;288,5
29/8/2022;287;292;289,5
26/8/2022;288;292;290
25/8/2022;288;293;290,5
24/8/2022;290;295;292,5
23/8/2022;292;297;294,5
22/8/2022;287;292;289,5
19/8/2022;290;295;292,5
18/8/2022;288;293;290,5
17/8/2022;287;292;289,5
16/8/2022;286;291;288,5
12/8/2022;285;295;290
11/8/2022;287;297;292
10/8/2022;285;295;290
9/8/2022;283;293;288
8/8/2022;282;292;287
5/8/2022;283;293;288
4/8/2022;281;291;286
3/8/2022;288;298;293
2/8/2022;281;291;286
1/8/2022;272;282;277
29/7/2022;286;296;291
28/7/2022;304;314;309
27/7/2022;316;326;321
26/7/2022;313;323;318
25/7/2022;312;322;317
22/7/2022;328;338;333
21/7/2022;327;337;332
20/7/2022;307;317;312
19/7/2022;291;301;296
18/7/2022;281;291;286
15/7/2022;283;293;288
14/7/2022;279;289;284
13/7/2022;273;283;278
12/7/2022;262;272;267
11/7/2022;258;268;263
8/7/2022;263;273;268
7/7/2022;247;257;252
6/7/2022;245;255;250
5/7/2022;242;252;247
4/7/2022;250;260;255
1/7/2022;235;239;237
30/6/2022;234;238;236
29/6/2022;235;239;237
28/6/2022;235;239;237
27/6/2022;228;232;230
24/6/2022;222;226;224
23/6/2022;220;224;222
22/6/2022;220;224;222
21/6/2022;216;220;218
16/6/2022;212;216;214
15/6/2022;213;217;215
14/6/2022;220;224;222
13/6/2022;212;216;214
10/6/2022;206;210;208
